feed_id,account_id,target_merchant,target_country,id,title,description_plain,url,product_media_url,product_media_alt_text,variant_id,variant_title,variant_description_plain,variant_url,variant_media_url,variant_media_alt_text,variant_barcode_type,variant_barcode_value,price_amount,price_currency,list_price_amount,list_price_currency,unit_price_amount,unit_price_currency,unit_price_measure_value,unit_price_measure_unit,unit_price_reference_value,unit_price_reference_unit,availability_available,availability_status,category_value,category_taxonomy,condition,option_color,option_size,seller_name,seller_link_type,seller_link_title,seller_link_url,tags,action
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-DUFFEL-ATLAS,Atlas Weekender Duffel,"Carry-on duffel with a shoe tunnel, laptop sleeve, recycled shell, and quick-access side pocket.",https://example.com/products/atlas-weekender-duffel,https://images.pexels.com/photos/13872590/pexels-photo-13872590.jpeg?auto=compress&cs=tinysrgb&w=1200,Atlas duffel bag hero image,SKU-MRCHT-DUFFEL-ATLAS-STD,Standard,"Travel-ready duffel with organized storage and carry-on dimensions.",https://example.com/products/atlas-weekender-duffel?variant=standard,https://images.pexels.com/photos/13872590/pexels-photo-13872590.jpeg?auto=compress&cs=tinysrgb&w=1200,Blue and tan duffel bag,gtin,00012345678912,14800,USD,17500,USD,14800,USD,1,ea,1,ea,true,backorder,Luggage & Bags > Duffel Bags,merchant,new,navy,One Size,MRCHT,shipping_policy,Shipping Policy,https://example.com/policies/shipping,"travel;duffel;carry-on;weekender",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-GRINDER-DIAL,Dial-In Burr Grinder,"Compact grinder with 48 settings, low-retention dosing, and a removable anti-static cup.",https://example.com/products/dial-in-burr-grinder,https://images.pexels.com/photos/12859329/pexels-photo-12859329.jpeg?auto=compress&cs=tinysrgb&w=1200,Dial-In burr grinder hero image,SKU-MRCHT-GRINDER-DIAL-STD,Standard,"Precision coffee grinder tuned for espresso and filter brewing.",https://example.com/products/dial-in-burr-grinder?variant=standard,https://images.pexels.com/photos/12859329/pexels-photo-12859329.jpeg?auto=compress&cs=tinysrgb&w=1200,Coffee grinder in use,gtin,00012345678929,22900,USD,24900,USD,954,USD,12,oz,12,oz,true,in_stock,Kitchen > Coffee Grinders,merchant,new,black,Standard,MRCHT,refund_policy,Returns & Refunds,https://example.com/policies/refunds,"coffee;espresso;grinder;kitchen",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-CHAIR-NORTHSTAR,Northstar Task Chair,"Adjustable work chair with breathable mesh, lumbar support, and a narrow footprint.",https://example.com/products/northstar-task-chair,https://images.pexels.com/photos/4305707/pexels-photo-4305707.jpeg?auto=compress&cs=tinysrgb&w=1200,Northstar task chair hero image,SKU-MRCHT-CHAIR-NORTHSTAR-STD,Standard,"Ergonomic office chair with mesh support and compact footprint.",https://example.com/products/northstar-task-chair?variant=standard,https://images.pexels.com/photos/4305707/pexels-photo-4305707.jpeg?auto=compress&cs=tinysrgb&w=1200,Office chair near desk,gtin,00012345678936,39500,USD,44900,USD,,,,,,,false,out_of_stock,Furniture > Office Chairs,merchant,new,graphite,Standard,MRCHT,faq,Restock FAQ,https://example.com/help/restocks,"chair;ergonomic;office;home office",lead_form
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-BIKE-CITY-1,Cityline Commuter E-Bike,"Lightweight commuter e-bike with integrated lights, rear rack, and 50-mile range.",https://example.com/products/cityline-commuter-ebike,https://images.pexels.com/photos/14474988/pexels-photo-14474988.jpeg?auto=compress&cs=tinysrgb&w=1200,Cityline e-bike hero image,SKU-MRCHT-BIKE-CITY-1-MID,Midnight Blue,"Urban e-bike tuned for commuting comfort and daily city riding.",https://example.com/products/cityline-commuter-ebike?variant=midnight-blue,https://images.pexels.com/photos/14474988/pexels-photo-14474988.jpeg?auto=compress&cs=tinysrgb&w=1200,Electric bike riding shot,gtin,00012345678943,189900,USD,209900,USD,,,,,,,true,in_stock,Sporting Goods > Electric Bikes,merchant,new,midnight blue,Medium,MRCHT,terms_of_service,Purchase Terms,https://example.com/policies/terms,"e-bike;commuter;city;battery",test_drive
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-SNEAKER-ARC,Arc Runner Sneaker,"Responsive knit sneaker with foam cushioning and all-day comfort.",https://example.com/products/arc-runner-sneaker,https://images.pexels.com/photos/1461538/pexels-photo-1461538.jpeg?auto=compress&cs=tinysrgb&w=1200,Arc Runner sneaker hero image,SKU-MRCHT-SNEAKER-ARC-9,Blue / 9,"Lightweight sneaker in blue colorway, size 9.",https://example.com/products/arc-runner-sneaker?variant=blue-9,https://images.pexels.com/photos/1461538/pexels-photo-1461538.jpeg?auto=compress&cs=tinysrgb&w=1200,Blue sneaker close-up,gtin,00012345678950,13200,USD,15000,USD,13200,USD,1,pair,1,pair,true,in_stock,Shoes > Sneakers,merchant,new,blue,9,MRCHT,shipping_policy,Sneaker Shipping,https://example.com/policies/shipping,"running;sneaker;lightweight;comfort",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-LAMP-ORBIT,Orbit Desk Lamp,"Minimal desk lamp with dimmable warmth settings and USB-C charging base.",https://example.com/products/orbit-desk-lamp,https://images.pexels.com/photos/1112598/pexels-photo-1112598.jpeg?auto=compress&cs=tinysrgb&w=1200,Orbit desk lamp hero image,SKU-MRCHT-LAMP-ORBIT-BLK,Matte Black,"Compact desk lamp with warm task lighting and USB-C base.",https://example.com/products/orbit-desk-lamp?variant=matte-black,https://images.pexels.com/photos/1112598/pexels-photo-1112598.jpeg?auto=compress&cs=tinysrgb&w=1200,Black desk lamp on table,gtin,00012345678967,8900,USD,9900,USD,,,,,,,true,in_stock,Home & Garden > Lighting,merchant,new,black,Standard,MRCHT,faq,Lighting FAQ,https://example.com/help/lighting,"lamp;desk;lighting;usb-c",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-SPEAKER-MINI,Mini Room Speaker,"Compact wireless speaker with room-filling sound and 12-hour battery life.",https://example.com/products/mini-room-speaker,https://images.pexels.com/photos/5511714/pexels-photo-5511714.jpeg?auto=compress&cs=tinysrgb&w=1200,Mini speaker hero image,SKU-MRCHT-SPEAKER-MINI-WHT,White,"Portable wireless speaker designed for tabletop listening.",https://example.com/products/mini-room-speaker?variant=white,https://images.pexels.com/photos/5511714/pexels-photo-5511714.jpeg?auto=compress&cs=tinysrgb&w=1200,Compact white bluetooth speaker,gtin,00012345678974,11900,USD,13900,USD,,,,,,,true,in_stock,Electronics > Speakers,merchant,new,white,Standard,MRCHT,faq,Audio FAQ,https://example.com/help/audio,"audio;bluetooth;speaker;portable",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-TEE-EVERYDAY-BLUE,MRCHT Blue Everyday Tee,"Soft cotton tee in a bright blue colorway for daily wear.",https://example.com/products/blue-everyday-tee,https://images.pexels.com/photos/5384423/pexels-photo-5384423.jpeg?auto=compress&cs=tinysrgb&w=1200,Blue everyday tee hero image,SKU-MRCHT-TEE-EVERYDAY-BLUE-M,Blue / M,"Midweight cotton tee with relaxed fit in size medium.",https://example.com/products/blue-everyday-tee?variant=blue-m,https://images.pexels.com/photos/5384423/pexels-photo-5384423.jpeg?auto=compress&cs=tinysrgb&w=1200,Model wearing blue t-shirt,gtin,00012345678981,2500,USD,3200,USD,2500,USD,1,ea,1,ea,true,in_stock,Apparel & Accessories > Clothing > Shirts & Tops,merchant,new,blue,M,MRCHT,shipping_policy,Shipping Policy,https://example.com/policies/shipping,"tee;cotton;basics;apparel",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-JACKET-SUMMIT,Summit Trail Jacket,"Water-resistant shell jacket with vented back panel and packable hood.",https://example.com/products/summit-trail-jacket,https://images.pexels.com/photos/7679720/pexels-photo-7679720.jpeg?auto=compress&cs=tinysrgb&w=1200,Summit trail jacket hero image,SKU-MRCHT-JACKET-SUMMIT-OLIVE-L,Olive / L,"All-weather trail jacket built for light rain and commute rides.",https://example.com/products/summit-trail-jacket?variant=olive-l,https://images.pexels.com/photos/7679720/pexels-photo-7679720.jpeg?auto=compress&cs=tinysrgb&w=1200,Olive jacket outdoors,gtin,00012345678998,9800,USD,12500,USD,,,,,,,true,limited,Apparel & Accessories > Clothing > Outerwear,merchant,new,olive,L,MRCHT,terms_of_service,Purchase Terms,https://example.com/policies/terms,"jacket;rain;outerwear;trail",test_drive
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-SPINNER-AERO,Aero Carry-On Spinner,"Hard-shell carry-on with quiet wheels, compression panel, and TSA lock.",https://example.com/products/aero-carry-on-spinner,https://images.pexels.com/photos/1545743/pexels-photo-1545743.jpeg?auto=compress&cs=tinysrgb&w=1200,Aero carry-on spinner hero image,SKU-MRCHT-SPINNER-AERO-22,22 Inch,"Lightweight carry-on spinner sized for overhead bins.",https://example.com/products/aero-carry-on-spinner?variant=22,https://images.pexels.com/photos/1545743/pexels-photo-1545743.jpeg?auto=compress&cs=tinysrgb&w=1200,Carry-on suitcase on terminal floor,gtin,00012345679001,18900,USD,22900,USD,,,,,,,true,in_stock,Luggage & Bags > Carry-On Luggage,merchant,new,graphite,22 Inch,MRCHT,shipping_policy,Shipping Policy,https://example.com/policies/shipping,"travel;carry-on;luggage;spinner",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-MEALPREP-SLATE,Slate Meal Prep Set,"Glass meal-prep containers with leak-resistant lids and stackable storage.",https://example.com/products/slate-meal-prep-set,https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200,Slate meal prep set hero image,SKU-MRCHT-MEALPREP-SLATE-10PC,10 Piece,"Ten-piece prep set for weekly lunches and leftovers.",https://example.com/products/slate-meal-prep-set?variant=10pc,https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200,Stacked glass food containers,gtin,00012345679018,4200,USD,5600,USD,4200,USD,1,set,1,set,true,in_stock,Home & Garden > Kitchen & Dining > Food Storage,merchant,new,clear,10 Piece,MRCHT,faq,Kitchen FAQ,https://example.com/help/kitchen,"kitchen;meal prep;containers;storage",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-KETTLE-GROVE,Grove Pour-Over Kettle,"Gooseneck kettle with precision spout and temperature hold for brewing.",https://example.com/products/grove-pour-over-kettle,https://images.pexels.com/photos/4226806/pexels-photo-4226806.jpeg?auto=compress&cs=tinysrgb&w=1200,Grove kettle hero image,SKU-MRCHT-KETTLE-GROVE-STD,Standard,"Electric kettle tuned for pour-over coffee and tea.",https://example.com/products/grove-pour-over-kettle?variant=standard,https://images.pexels.com/photos/4226806/pexels-photo-4226806.jpeg?auto=compress&cs=tinysrgb&w=1200,Pour-over kettle on kitchen counter,gtin,00012345679025,8900,USD,10900,USD,,,,,,,true,in_stock,Kitchen > Coffee & Tea Accessories,merchant,new,matte black,Standard,MRCHT,faq,Brewing FAQ,https://example.com/help/brewing,"kettle;pour-over;coffee;tea",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-EARBUDS-DRIFT,Drift Noise-Cancel Earbuds,"Wireless earbuds with adaptive noise canceling and a compact charging case.",https://example.com/products/drift-noise-cancel-earbuds,https://images.pexels.com/photos/3780681/pexels-photo-3780681.jpeg?auto=compress&cs=tinysrgb&w=1200,Drift earbuds hero image,SKU-MRCHT-EARBUDS-DRIFT-BLK,Black,"In-ear earbuds with ANC and transparency listening modes.",https://example.com/products/drift-noise-cancel-earbuds?variant=black,https://images.pexels.com/photos/3780681/pexels-photo-3780681.jpeg?auto=compress&cs=tinysrgb&w=1200,Black wireless earbuds on desk,gtin,00012345679032,15900,USD,18900,USD,,,,,,,true,in_stock,Electronics > Headphones,merchant,new,black,Standard,MRCHT,refund_policy,Returns & Refunds,https://example.com/policies/refunds,"earbuds;anc;audio;wireless",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-MAT-TERRA,Terra Yoga Mat,"High-grip yoga mat with alignment markers and cushioned support.",https://example.com/products/terra-yoga-mat,https://images.pexels.com/photos/3822864/pexels-photo-3822864.jpeg?auto=compress&cs=tinysrgb&w=1200,Terra yoga mat hero image,SKU-MRCHT-MAT-TERRA-6MM,6mm,"Comfort-density mat suitable for yoga and floor training.",https://example.com/products/terra-yoga-mat?variant=6mm,https://images.pexels.com/photos/3822864/pexels-photo-3822864.jpeg?auto=compress&cs=tinysrgb&w=1200,Rolled yoga mat on studio floor,gtin,00012345679049,5400,USD,6900,USD,5400,USD,1,ea,1,ea,true,in_stock,Sporting Goods > Exercise Mats,merchant,new,forest,6mm,MRCHT,faq,Fitness FAQ,https://example.com/help/fitness,"yoga;fitness;mat;wellness",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-WATCH-PULSE,Pulse Smartwatch,"GPS smartwatch with sleep insights, workout modes, and seven-day battery.",https://example.com/products/pulse-smartwatch,https://images.pexels.com/photos/267394/pexels-photo-267394.jpeg?auto=compress&cs=tinysrgb&w=1200,Pulse smartwatch hero image,SKU-MRCHT-WATCH-PULSE-44,44mm,"Fitness-focused smartwatch with health and activity tracking.",https://example.com/products/pulse-smartwatch?variant=44mm,https://images.pexels.com/photos/267394/pexels-photo-267394.jpeg?auto=compress&cs=tinysrgb&w=1200,Smartwatch on wrist close-up,gtin,00012345679056,24900,USD,29900,USD,,,,,,,true,limited,Electronics > Wearable Technology,merchant,new,black,44mm,MRCHT,terms_of_service,Device Terms,https://example.com/policies/terms,"smartwatch;fitness;wearable;gps",test_drive
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-OVERSHIRT-EMBER,Ember Wool Overshirt,"Warm overshirt with brushed wool blend and button-front utility pockets.",https://example.com/products/ember-wool-overshirt,https://images.pexels.com/photos/428338/pexels-photo-428338.jpeg?auto=compress&cs=tinysrgb&w=1200,Ember overshirt hero image,SKU-MRCHT-OVERSHIRT-EMBER-M,Rust / M,"Layer-friendly wool overshirt for cool weather.",https://example.com/products/ember-wool-overshirt?variant=rust-m,https://images.pexels.com/photos/428338/pexels-photo-428338.jpeg?auto=compress&cs=tinysrgb&w=1200,Rust overshirt on hanger,gtin,00012345679063,12900,USD,15900,USD,,,,,,,true,backorder,Apparel & Accessories > Clothing > Outerwear,merchant,new,rust,M,MRCHT,faq,Restock FAQ,https://example.com/help/restocks,"overshirt;wool;layering;fall",lead_form
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-DESK-MERIDIAN,Meridian Standing Desk,"Electric sit-stand desk with memory presets, cable tray, and solid top.",https://example.com/products/meridian-standing-desk,https://images.pexels.com/photos/667838/pexels-photo-667838.jpeg?auto=compress&cs=tinysrgb&w=1200,Meridian standing desk hero image,SKU-MRCHT-DESK-MERIDIAN-55,55 Inch,"Height-adjustable desk for home office and studio workflows.",https://example.com/products/meridian-standing-desk?variant=55,https://images.pexels.com/photos/667838/pexels-photo-667838.jpeg?auto=compress&cs=tinysrgb&w=1200,Standing desk workspace setup,gtin,00012345679070,59900,USD,69900,USD,,,,,,,false,out_of_stock,Furniture > Desks,merchant,new,walnut,55 Inch,MRCHT,faq,Restock FAQ,https://example.com/help/restocks,"desk;standing desk;office;workspace",lead_form
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-MUG-NOVA,Nova Travel Mug,"Insulated stainless travel mug with lockable lid and ceramic-coated interior.",https://example.com/products/nova-travel-mug,https://images.pexels.com/photos/302899/pexels-photo-302899.jpeg?auto=compress&cs=tinysrgb&w=1200,Nova travel mug hero image,SKU-MRCHT-MUG-NOVA-16,16 oz,"Leak-resistant mug built for commuting and desk use.",https://example.com/products/nova-travel-mug?variant=16oz,https://images.pexels.com/photos/302899/pexels-photo-302899.jpeg?auto=compress&cs=tinysrgb&w=1200,Travel mug on wooden table,gtin,00012345679087,3200,USD,4200,USD,200,USD,1,oz,1,oz,true,in_stock,Home & Garden > Kitchen & Dining > Drinkware,merchant,new,sand,16 oz,MRCHT,shipping_policy,Shipping Policy,https://example.com/policies/shipping,"travel mug;coffee;insulated;drinkware",checkout
feed_mrcht_demo_v1,acct_mrcht_demo,MRCHT,US,SKU-MRCHT-SLING-HARBOR,Harbor Sling Pack,"Compact sling pack with quick-access front pocket and padded strap.",https://example.com/products/harbor-sling-pack,https://images.pexels.com/photos/1545746/pexels-photo-1545746.jpeg?auto=compress&cs=tinysrgb&w=1200,Harbor sling pack hero image,SKU-MRCHT-SLING-HARBOR-STD,Standard,"Everyday sling bag sized for phone, wallet, and small essentials.",https://example.com/products/harbor-sling-pack?variant=standard,https://images.pexels.com/photos/1545746/pexels-photo-1545746.jpeg?auto=compress&cs=tinysrgb&w=1200,Black sling bag worn crossbody,gtin,00012345679094,6800,USD,8500,USD,,,,,,,true,in_stock,Luggage & Bags > Backpacks & Sling Bags,merchant,new,black,One Size,MRCHT,faq,Bag Care FAQ,https://example.com/help/bags,"sling;bag;edc;travel",checkout
